College-Oriented Matching Results
S0 -> C14
S1 -> C46
S10 -> C37
S100 -> C6
S101 -> C45
S102 -> C45
S103 -> C27
S104 -> C12
S105 -> C35
S106 -> C40
S107 -> C34
S108 -> C18
S109 -> C41
S11 -> C49
S110 -> C23
S111 -> C29
S112 -> C26
S113 -> C12
S114 -> C23
S115 -> C42
S116 -> C49
S117 -> C35
S118 -> C34
S119 -> C16
S12 -> C21
S120 -> C23
S121 -> C18
S122 -> C32
S123 -> C23
S124 -> C18
S125 -> C23
S126 -> C30
S127 -> C8
S128 -> C11
S129 -> C36
S13 -> C30
S130 -> C5
S131 -> C5
S132 -> C38
S133 -> C31
S134 -> C22
S135 -> C47
S136 -> C5
S137 -> C20
S138 -> C16
S139 -> C46
S14 -> C42
S140 -> C25
S141 -> C19
S142 -> C12
S143 -> C37
S144 -> C14
S145 -> C3
S146 -> C35
S147 -> C9
S148 -> C48
S149 -> C5
S15 -> C26
S150 -> C15
S151 -> C3
S152 -> C17
S153 -> C8
S154 -> C11
S155 -> C43
S156 -> C33
S157 -> C20
S158 -> C20
S159 -> C4
S16 -> C1
S160 -> C5
S161 -> C37
S162 -> C35
S163 -> C6
S164 -> C39
S165 -> C9
S166 -> C46
S167 -> C32
S168 -> C42
S169 -> C21
S17 -> C17
S170 -> C3
S171 -> C26
S172 -> C6
S173 -> C4
S174 -> C16
S175 -> C34
S176 -> C0
S177 -> C13
S178 -> C6
S179 -> C36
S18 -> C44
S180 -> C47
S181 -> C39
S182 -> C23
S183 -> C30
S184 -> C14
S185 -> C25
S186 -> C38
S187 -> C14
S188 -> C32
S189 -> C15
S19 -> C17
S190 -> C13
S191 -> C11
S192 -> C46
S193 -> C35
S194 -> C49
S195 -> C42
S196 -> C46
S197 -> C36
S198 -> C34
S199 -> C31
S2 -> C15
S20 -> C5
S200 -> C14
S201 -> C32
S202 -> C3
S203 -> C14
S204 -> C46
S205 -> C15
S206 -> C46
S207 -> C13
S208 -> C19
S209 -> C44
S21 -> C14
S210 -> C25
S211 -> C24
S212 -> C21
S213 -> C20
S214 -> C42
S215 -> C29
S216 -> C32
S217 -> C49
S218 -> C25
S219 -> C25
S22 -> C17
S220 -> C17
S221 -> C40
S222 -> C39
S223 -> C38
S224 -> C18
S225 -> C5
S226 -> C27
S227 -> C48
S228 -> C8
S229 -> C41
S23 -> C9
S230 -> C19
S231 -> C34
S232 -> C1
S233 -> C12
S234 -> C23
S235 -> C4
S236 -> C33
S237 -> C20
S238 -> C38
S239 -> C41
S24 -> C25
S240 -> C7
S241 -> C33
S242 -> C26
S243 -> C19
S244 -> C17
S245 -> C18
S246 -> C7
S247 -> C2
S248 -> C38
S249 -> C25
S25 -> C35
S250 -> C28
S251 -> C31
S252 -> C3
S253 -> C9
S254 -> C1
S255 -> C32
S256 -> C36
S257 -> C15
S258 -> C43
S259 -> C49
S26 -> C4
S260 -> C5
S261 -> C10
S262 -> C15
S263 -> C28
S264 -> C35
S265 -> C11
S266 -> C10
S267 -> C16
S268 -> C26
S269 -> C21
S27 -> C42
S270 -> C30
S271 -> C7
S272 -> C15
S273 -> C49
S274 -> C39
S275 -> C43
S276 -> C11
S277 -> C35
S278 -> C8
S279 -> C34
S28 -> C6
S280 -> C48
S281 -> C15
S282 -> C4
S283 -> C26
S284 -> C9
S285 -> C30
S286 -> C24
S287 -> C14
S288 -> C29
S289 -> C40
S29 -> C37
S290 -> C31
S291 -> C13
S292 -> C49
S293 -> C38
S294 -> C20
S295 -> C9
S296 -> C21
S297 -> C47
S298 -> C8
S299 -> C6
S3 -> C8
S30 -> C17
S300 -> C47
S301 -> C44
S302 -> C19
S303 -> C2
S304 -> C29
S305 -> C25
S306 -> C25
S307 -> C16
S308 -> C9
