Student-Oriented Matching Results
S0 -> C29
S1 -> C46
S10 -> C37
S100 -> C6
S101 -> C45
S102 -> C45
S103 -> C27
S104 -> C12
S105 -> C19
S106 -> C40
S107 -> C34
S108 -> C18
S109 -> C41
S11 -> C49
S110 -> C23
S111 -> C37
S112 -> C26
S113 -> C12
S114 -> C23
S115 -> C42
S116 -> C49
S117 -> C36
S118 -> C34
S119 -> C16
S12 -> C21
S120 -> C23
S121 -> C27
S122 -> C32
S123 -> C23
S124 -> C18
S125 -> C23
S126 -> C36
S127 -> C8
S128 -> C11
S129 -> C36
S13 -> C30
S130 -> C5
S131 -> C26
S132 -> C38
S133 -> C31
S134 -> C22
S135 -> C47
S136 -> C36
S137 -> C20
S138 -> C16
S139 -> C46
S14 -> C42
S140 -> C29
S141 -> C19
S142 -> C12
S143 -> C37
S144 -> C14
S145 -> C3
S146 -> C35
S147 -> C9
S148 -> C12
S149 -> C5
S15 -> C26
S150 -> C15
S151 -> C3
S152 -> C17
S153 -> C13
S154 -> C11
S155 -> C43
S156 -> C33
S157 -> C32
S158 -> C7
S159 -> C27
S16 -> C1
S160 -> C26
S161 -> C8
S162 -> C46
S163 -> C6
S164 -> C39
S165 -> C9
S166 -> C37
S167 -> C32
S168 -> C0
S169 -> C21
S17 -> C17
S170 -> C3
S171 -> C26
S172 -> C6
S173 -> C4
S174 -> C16
S175 -> C34
S176 -> C14
S177 -> C13
S178 -> C6
S179 -> C11
S18 -> C44
S180 -> C47
S181 -> C39
S182 -> C38
S183 -> C30
S184 -> C14
S185 -> C25
S186 -> C38
S187 -> C14
S188 -> C32
S189 -> C15
S19 -> C17
S190 -> C13
S191 -> C40
S192 -> C46
S193 -> C35
S194 -> C10
S195 -> C42
S196 -> C46
S197 -> C36
S198 -> C34
S199 -> C31
S2 -> C15
S20 -> C5
S200 -> C14
S201 -> C32
S202 -> C3
S203 -> C14
S204 -> C46
S205 -> C15
S206 -> C46
S207 -> C13
S208 -> C41
S209 -> C19
S21 -> C14
S210 -> C25
S211 -> C24
S212 -> C21
S213 -> C27
S214 -> C27
S215 -> C29
S216 -> C32
S217 -> C49
S218 -> C25
S219 -> C25
S22 -> C17
S220 -> C17
S221 -> C40
S222 -> C39
S223 -> C5
S224 -> C18
S225 -> C5
S226 -> C27
S227 -> C10
S228 -> C8
S229 -> C41
S23 -> C9
S230 -> C49
S231 -> C34
S232 -> C45
S233 -> C11
S234 -> C23
S235 -> C4
S236 -> C33
S237 -> C0
S238 -> C38
S239 -> C41
S24 -> C25
S240 -> C7
S241 -> C33
S242 -> C26
S243 -> C19
S244 -> C17
S245 -> C18
S246 -> C48
S247 -> C45
S248 -> C38
S249 -> C25
S25 -> C35
S250 -> C20
S251 -> C31
S252 -> C3
S253 -> C9
S254 -> C1
S255 -> C32
S256 -> C36
S257 -> C33
S258 -> C43
S259 -> C49
S26 -> C4
S260 -> C17
S261 -> C5
S262 -> C15
S263 -> C28
S264 -> C35
S265 -> C11
S266 -> C10
S267 -> C16
S268 -> C26
S269 -> C21
S27 -> C42
S270 -> C30
S271 -> C20
S272 -> C15
S273 -> C49
S274 -> C39
S275 -> C3
S276 -> C11
S277 -> C35
S278 -> C8
S279 -> C34
S28 -> C23
S280 -> C48
S281 -> C15
S282 -> C4
S283 -> C26
S284 -> C9
S285 -> C30
S286 -> C24
S287 -> C14
S288 -> C29
S289 -> C40
S29 -> C37
S290 -> C15
S291 -> C38
S292 -> C25
S293 -> C38
S294 -> C0
S295 -> C3
S296 -> C21
S297 -> C47
S298 -> C8
S299 -> C6
S3 -> C8
S30 -> C17
S300 -> C47
S301 -> C16
S302 -> C19
S303 -> C4
S304 -> C29
S305 -> C25
S306 -> C25
S307 -> C16
S308 -> C9
S309 -> C34
S31 -> C2
S310 -> C46
S311 -> C19
S312 -> C11
S313 -> C17
S314 -> C35
S315 -> C24
S316 -> C39
S317 -> C44
S318 -> C43
S319 -> C45
S32 -> C27
S320 -> C15
S321 -> C23
S322 -> C22
S323 -> C6
S324 -> C28
S325 -> C43
S326 -> C39
S327 -> C2
S328 -> C21
S329 -> C43
S33 -> C7
S330 -> C44
S331 -> C14
S332 -> C30
S333 -> C42
S334 -> C2
S335 -> C1
S336 -> C22
S337 -> C34
S338 -> C46
S339 -> C21
S34 -> C21
S340 -> C2
S341 -> C41
S342 -> C39
S343 -> C25
S344 -> C23
S345 -> C46
S346 -> C37
S347 -> C43
S348 -> C22
S349 -> C15
S35 -> C15
S350 -> C34
S351 -> C41
S352 -> C21
S353 -> C23
S354 -> C48
S355 -> C3
S356 -> C5
S357 -> C36
S358 -> C20
S359 -> C35
S36 -> C14
S360 -> C22
S361 -> C36
S362 -> C22
S363 -> C24
S364 -> C34
S365 -> C36
S366 -> C9
S367 -> C48
S368 -> C48
S369 -> C23
S37 -> C21
S370 -> C47
S371 -> C38
S372 -> C48
S373 -> C22
S374 -> C5
S375 -> C14
S376 -> C34
